task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate,action_2_rate
CartPole-v1,27,13,0.013,0.02274178981196525,1.0,0.0,0.0,0.0,0.0,0.8980300921638176,0.18037967498485857,0.014845407356286316,0.158208429813385,0.00012790712471675398,-0.0005256476668784252,0.0032837743258289044,-0.08577449333209258,0.002821519085670506,0.7692307692307693,0.23076923076923078,
CartPole-v1,28,33,0.033,0.023010897028935336,1.0,0.0,0.0,0.0,0.0,0.9159220267118694,0.03154935981993648,0.03052603637374269,0.24229885186209824,0.02761225800380584,0.0035117620312975664,0.009407475827228983,-0.27940376870559924,0.03439139348869122,0.9696969696969697,0.030303030303030304,
CartPole-v1,29,2,0.002,0.026849704057882597,1.0,0.0,0.0,0.0,0.0,0.9458910041851472,-0.23572833091020584,0.07153847068548203,0.21945825964212418,0.00010489672422409058,-0.0033296539913862944,0.0010562504176050425,-0.48380713164806366,0.0023138970136642456,1.0,0.0,
CartPole-v1,30,27,0.027,0.026025956669770884,1.0,0.0,0.0,0.0,0.0,0.9745514341432687,-0.3971298778498614,0.044609056779261205,-0.17064538598060608,0.00022882454790243726,9.541126470409196e-05,0.004464067779001179,0.09846686682215443,0.005048076336522218,0.2222222222222222,0.7777777777777778,
CartPole-v1,31,16,0.016,0.021978860122346802,1.0,0.0,0.0,0.0,0.0,0.9357336259047178,0.13145765382796526,0.028018311936506394,-0.037241290556266904,0.00021007538034380994,-0.0026291102267350652,0.004011382060031606,0.21414232719689608,0.004635725751042908,0.0625,0.9375,
CartPole-v1,32,0,0.0,nan,nan,nan,nan,nan,0.0,0.9681934043879887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,33,5,0.005,0.02021462001956676,1.0,0.0,0.0,0.0,0.0,0.9567590842235139,-0.023103181319311262,0.013488928197953892,0.021720124036073686,0.0014390024124162077,-0.015981229674071073,0.01042168994839976,-0.133430016040802,0.031727858742179586,1.0,0.0,
CartPole-v1,34,0,0.0,nan,nan,nan,nan,nan,0.0,0.9324482268479134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,35,34,0.034,0.02502891321653012,1.0,0.0,0.0,0.0,0.0,0.9145265330584079,-0.044912777676740116,0.012030308568531703,-0.028235368759316558,0.0005923147190192614,0.00282037300605546,0.012597499313028377,0.015509732582037994,0.013090293567802695,0.47058823529411764,0.5294117647058824,
CartPole-v1,36,1,0.001,0.03985266238673327,1.0,0.0,0.0,0.0,0.0,0.9820289617524816,-0.07845788449048996,0.0,-0.6141310930252075,0.0,0.03414158895611763,0.0,0.9055364727973938,0.0,0.0,1.0,
CartPole-v1,37,3,0.003,0.02597832470533699,1.0,0.0,0.0,0.0,0.0,0.932978143413919,0.07355788101752599,0.013154471282451168,-0.2314289708932241,0.0006190824554533043,0.0007469957539190849,0.005538573792687505,0.486224224170049,0.013654920898970146,0.0,1.0,
CartPole-v1,38,55,0.055,0.022382228480019816,1.0,0.0,0.0,0.0,0.0,0.91050351575067,0.1529188500209288,0.011971090468537003,0.04317148111083291,0.0022547428901557682,-0.0008833014596761628,0.003722666515629402,-0.022074126003479414,0.007094139728638947,0.6181818181818182,0.38181818181818183,
CartPole-v1,39,11,0.011,0.021315264853369306,1.0,0.0,0.0,0.0,0.0,0.9489770374203389,-0.023810544368726285,0.01512417958538667,-0.17319344255057248,0.001553049414446234,-0.018413836559788746,0.010106622759135637,0.15471912107684396,0.03431416096578723,0.2727272727272727,0.7272727272727273,
CartPole-v1,40,24,0.024,0.02242079583351048,1.0,0.0,0.0,0.0,0.0,0.9398551385097929,0.04215568706179814,0.020535796266537173,0.03712869994342327,0.007658410584017711,-0.0069045557744781645,0.016143630888630654,0.0034942640268127434,0.01890417489074194,0.4166666666666667,0.5833333333333334,
CartPole-v1,41,0,0.0,nan,nan,nan,nan,nan,0.0,0.9828576466287625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,42,0,0.0,nan,nan,nan,nan,nan,0.0,0.9419632934626607,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,43,0,0.0,nan,nan,nan,nan,nan,0.0,0.973262390325113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,44,1,0.001,0.02219762762206033,1.0,0.0,0.0,0.0,0.0,0.9400979663163879,0.23541085422039032,0.0,-0.03579955920577049,0.0,-0.032364994287490845,0.0,0.18244409561157227,0.0,0.0,1.0,
