n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
10,0.5,0.05,200,3,0.0760989508537984,0.0068438108134344046,0.06830459614953854,0.08496529772741371,0.32731510928110913,0.057395518383040266,6.154336299838785e-14,9.259260025373806e-14,0.5824293295542399
10,1.0,0.0,1,3,0.000904489307837625,6.340965600923339e-05,0.0008157912522328375,0.0009602693422344305,0.9964716326112969,0.0002559600160492204,8.141635513917814e-16,8.881784197001252e-16,0.5703717072804769
10,1.0,0.0,10,3,0.011653255989430731,0.0006509606789919411,0.010927411051058135,0.012506572741281127,0.9547707275323435,0.0025562085675474473,0.0009562219665056648,0.0018110347942143779,0.5703717072804769
10,1.0,0.0,50,3,0.04270704600943686,0.002373392307397049,0.04041163993718395,0.045975555446396636,0.8396776658102829,0.008807111398560552,0.000457979259559567,0.001373937778629407,0.5703717072804769
10,1.0,0.0,100,3,0.0562488264393959,0.00590935978557302,0.05102079444503897,0.06450921832846349,0.7829007644468027,0.02240976863751111,0.0005389002449012788,0.0010673238627033708,0.5703717072804769
10,1.0,0.0,200,3,0.06193798166232151,0.0072111783019547385,0.05591551898297263,0.07207656147185217,0.7117167879967619,0.03492214715221903,3.5638159090467525e-14,6.283862319378386e-14,0.5703717072804769
10,1.0,0.005,1,3,0.0005525057172617551,9.569444930023433e-05,0.0004655196013446479,0.000685782978555608,0.9978470884314533,0.00039049546029603196,8.141635513917814e-16,1.1102230246251565e-15,0.5728779633839926
10,1.0,0.005,10,3,0.008886900036856517,0.0005521036191538168,0.008197742609783742,0.009549321698964898,0.9655842038710023,0.0022143600904062978,0.0022185732706320586,0.0035663272315095552,0.5728779633839926
10,1.0,0.005,50,3,0.041062161488414586,0.0007927474591465746,0.040454790551690184,0.04218193409053881,0.8458384710206316,0.0053497560636531355,2.494301061991185e-14,3.5638159090467525e-14,0.5728779633839926
10,1.0,0.005,100,3,0.06502843891377863,0.0013194241449246767,0.06355248526067109,0.06675509704475976,0.7499512786802847,0.0016807184170134122,0.0037216292619162527,0.005794541981071534,0.5728779633839926
10,1.0,0.005,200,3,0.08130773213850966,0.0007859875865547772,0.080202603576211,0.08196365441364636,0.6207898945924223,0.0016130756722127527,0.011418531350976794,0.034255594052858884,0.5728779633839926
10,1.0,0.01,1,3,0.0003981728582014416,4.3195235926361816e-05,0.0003453256745682184,0.0004511317848874001,0.9983987760803984,0.00017337669205308472,8.141635513917814e-16,8.881784197001252e-16,0.5830966631571451
10,1.0,0.01,10,3,0.006693755373290067,0.0005269226085340049,0.006123152146114482,0.007394123392322851,0.9732480440357895,0.0021556318714385267,0.0023537700301751083,0.0027074802367682374,0.5830966631571451
10,1.0,0.01,50,3,0.039300432224920294,0.0026895863189515088,0.0355466755376189,0.04170909520546993,0.848257575127826,0.011090176042321482,0.010546168249198242,0.02981414615110401,0.5830966631571451
10,1.0,0.01,100,3,0.06259761776832878,0.005823185268046855,0.054366726237044215,0.06694446891240431,0.7511345521913212,0.02571990395752664,0.007312268809971751,0.017223953962692468,0.5830966631571451
10,1.0,0.01,200,3,0.06446395079203485,0.010828653279842998,0.05038865601248762,0.07672693601148223,0.6862407594893789,0.05858752070148718,0.0006826005326674231,0.00149011133165471,0.5830966631571451
