n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
10,0.5,0.0,1,10,391,0.006362711788423673,0.9169004005004082,4.218847493575595e-15,0.0005158466244486478,0.9935448198288086,0.5759880542755127
10,0.5,0.0,1,50,351,0.027923263607876097,0.6485697918807437,1.5654144647214707e-14,0.0005158466244486478,0.9935448198288086,0.5759880542755127
10,0.5,0.0,1,100,301,0.04315655179117091,0.4407404718166965,2.4424906541753444e-14,0.0005158466244486478,0.9935448198288086,0.5759880542755127
10,0.5,0.0,1,200,201,0.05535812017148086,0.12172473261768146,3.352873534367973e-14,0.0005158466244486478,0.9935448198288086,0.5759880542755127
10,0.5,0.0,2,1,400,0.0003474063736464858,0.995368694946526,7.771561172376096e-16,0.0003940775316579591,0.9950263784993502,0.5933527946472168
10,0.5,0.0,2,10,391,0.005495852990920193,0.9270702045497738,5.218048215738236e-15,0.0003940775316579591,0.9950263784993502,0.5933527946472168
10,0.5,0.0,2,50,351,0.02596879394764356,0.6688931788876862,2.2426505097428162e-14,0.0003940775316579591,0.9950263784993502,0.5933527946472168
10,0.5,0.0,2,100,301,0.037069788851384324,0.5108485329641653,4.6629367034256575e-14,0.0003940775316579591,0.9950263784993502,0.5933527946472168
10,0.5,0.0,2,200,201,0.041474699727173284,0.3541599040044381,6.52811138479592e-14,0.0003940775316579591,0.9950263784993502,0.5933527946472168
10,0.5,0.005,0,1,400,0.0002811811349804128,0.9963572543994164,6.661338147750939e-16,0.0003411909399982362,0.9958273003476958,0.5722980499267578
10,0.5,0.005,0,10,391,0.004715639750011072,0.9392774425895055,4.107825191113079e-15,0.0003411909399982362,0.9958273003476958,0.5722980499267578
10,0.5,0.005,0,50,351,0.02722375003729466,0.6634441393190982,1.8207657603852567e-14,0.0003411909399982362,0.9958273003476958,0.5722980499267578
10,0.5,0.005,0,100,301,0.04129068853888674,0.4768033435300142,2.4646951146678475e-14,0.0003411909399982362,0.9958273003476958,0.5722980499267578
10,0.5,0.005,0,200,201,0.05409375321666712,0.16573408944240176,2.986499936241671e-14,0.0003411909399982362,0.9958273003476958,0.5722980499267578
10,0.5,0.005,1,1,400,0.0004281261241998633,0.9942458899629211,6.661338147750939e-16,0.0005163755708496243,0.9933342543268385,0.5766420364379883
10,0.5,0.005,1,10,391,0.006245506500006925,0.9164773345852525,4.440892098500626e-15,0.0005163755708496243,0.9933342543268385,0.5766420364379883
10,0.5,0.005,1,50,351,0.03271290155669439,0.5774649008866768,1.9761969838327786e-14,0.0005163755708496243,0.9933342543268385,0.5766420364379883
10,0.5,0.005,1,100,301,0.04980234700523285,0.3295577325253193,3.1308289294429414e-14,0.0005163755708496243,0.9933342543268385,0.5766420364379883
10,0.5,0.005,1,200,201,0.06626554475775688,-0.07091824640029065,4.218847493575595e-14,0.0005163755708496243,0.9933342543268385,0.5766420364379883
10,0.5,0.005,2,1,400,0.00018946433227469013,0.9974067801521872,8.881784197001252e-16,0.00023628140464133698,0.9969310759391291,0.5703020095825195
10,0.5,0.005,2,10,391,0.004091845994392784,0.9443007990743999,6.661338147750939e-15,0.00023628140464133698,0.9969310759391291,0.5703020095825195
10,0.5,0.005,2,50,351,0.026169939511502354,0.6572850688753563,2.6867397195928788e-14,0.00023628140464133698,0.9969310759391291,0.5703020095825195
10,0.5,0.005,2,100,301,0.042880954485722544,0.41863667722361275,3.68594044175552e-14,0.00023628140464133698,0.9969310759391291,0.5703020095825195
10,0.5,0.005,2,200,201,0.05082347225108965,0.19899555250709466,5.6621374255882984e-14,0.00023628140464133698,0.9969310759391291,0.5703020095825195
10,0.5,0.01,0,1,400,0.00013513936308524996,0.9983414930939601,6.661338147750939e-16,0.00020823228392466777,0.9975798465109466,0.5933079719543457
10,0.5,0.01,0,10,391,0.0035979588311614544,0.956098320214938,3.9968028886505635e-15,0.00020823228392466777,0.9975798465109466,0.5933079719543457
10,0.5,0.01,0,50,351,0.02215695663834016,0.7400275951835579,2.0872192862952943e-14,0.00020823228392466777,0.9975798465109466,0.5933079719543457
