n_clusters,omega,noise_level,weighted_long_horizon_score,E50,E100,E200
40,1.0,0.01,0.12239084425381244,0.09610721270120066,0.1160679377246611,0.138694113294694
40,1.0,0.02,0.10452012921905092,0.08922162805638068,0.11086067015192867,0.10899910933394717
40,1.0,0.05,0.16462968609837908,0.1029038019272549,0.14765176559660315,0.20398158843482916
40,2.0,0.0,0.21232387810680947,0.15172754056282053,0.20694745792029556,0.2453102569720609
40,2.0,0.005,0.18299281160537628,0.14685761926632698,0.2113705985953426,0.18687151427991774
40,2.0,0.01,0.19390906089197466,0.14222438326331954,0.21478906009243032,0.20931140010607438
40,2.0,0.02,0.19609035434776934,0.13275319040755104,0.19921520188229816,0.22619651255061407
40,2.0,0.05,0.33328927034882516,0.19322732781861207,0.3137143029909561,0.4131077252928662
40,4.0,0.0,0.21275593371126883,0.1192969984980696,0.20447491805152257,0.2636259091477416
40,4.0,0.005,0.2032674090987052,0.1085307853543851,0.20746415947191021,0.24853734578426273
40,4.0,0.01,0.2070747900258496,0.11806912493863342,0.2021110248555626,0.2540595051546012
40,4.0,0.02,0.2960918067035814,0.154097945146095,0.26005273147867636,0.3851082750947771
40,4.0,0.05,0.5449324339339374,0.3880535372754062,0.5249046328076589,0.6333857828263424
