task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,30,8.0,kahkm_nlms,kahkm_association,5,0.398787870543197,0.4088054719244709,0.04641949889959462
CartPole-v1,30,8.0,kahkm_nlms,kahkm_association,50,0.5678432100229409,0.16591180887653978,0.058205845394880384
CartPole-v1,30,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.3866042309960469,0.4267974698290128,6.661338147750939e-16
CartPole-v1,30,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.36198832233476563,0.4640403555118451,6.661338147750939e-16
CartPole-v1,30,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.4430986757520046,0.3461106000346924,6.661338147750939e-16
CartPole-v1,30,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.39722941508558157,0.4111158489616078,6.661338147750939e-16
CartPole-v1,30,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.5738907837738176,0.15702870565100202,6.661338147750939e-16
CartPole-v1,30,12.0,kahkm_nlms,kahkm_association,1,0.4246722972381405,0.4536146484579724,0.11911957379631646
CartPole-v1,30,12.0,kahkm_nlms,kahkm_association,10,0.36113612132855183,0.53603297232072,0.044548346022068565
CartPole-v1,30,12.0,kahkm_nlms,kahkm_association,20,0.43311948492259006,0.44521813014622447,0.04615359614190604
CartPole-v1,30,12.0,kahkm_nlms,kahkm_association,5,0.44329006324142506,0.42976076079861525,0.06225464830487
CartPole-v1,30,12.0,kahkm_nlms,kahkm_association,50,0.5879650677179316,0.24991008236156953,0.05633890632517204
CartPole-v1,30,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.41859959304556305,0.46142781789862364,8.881784197001252e-16
CartPole-v1,30,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.3621401705839524,0.5347430272801685,7.771561172376096e-16
CartPole-v1,30,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.43414890341929785,0.4438995500814932,6.661338147750939e-16
CartPole-v1,30,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.4379887265937477,0.43658029145675126,6.661338147750939e-16
CartPole-v1,30,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.5909672285963208,0.24608010889945786,6.661338147750939e-16
CartPole-v1,50,2.0,kahkm_nlms,kahkm_association,1,0.15595236150869354,0.13094725899863435,0.0029131695091198753
CartPole-v1,50,2.0,kahkm_nlms,kahkm_association,10,0.1514731723380203,0.1557445808029866,4.3298697960381105e-15
CartPole-v1,50,2.0,kahkm_nlms,kahkm_association,20,0.15464585943126985,0.1374986835298876,7.549516567451064e-15
CartPole-v1,50,2.0,kahkm_nlms,kahkm_association,5,0.16152440005628968,0.09999260194423543,2.886579864025407e-15
CartPole-v1,50,2.0,kahkm_nlms,kahkm_association,50,0.15778260881041734,0.11514390617598735,1.6209256159527285e-14
CartPole-v1,50,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.155947853388781,0.13097238073407236,6.661338147750939e-16
CartPole-v1,50,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.15147136232238567,0.155754669160448,6.661338147750939e-16
CartPole-v1,50,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.15464568813630994,0.13749963888769,7.771561172376096e-16
CartPole-v1,50,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.16152114755203795,0.10001072476585093,6.661338147750939e-16
CartPole-v1,50,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.15778296224060262,0.11514192411436752,6.661338147750939e-16
CartPole-v1,50,4.0,kahkm_nlms,kahkm_association,1,0.2916496185006539,0.31812689788926285,0.02388223939795611
CartPole-v1,50,4.0,kahkm_nlms,kahkm_association,10,0.31172709073763355,0.27160146830178833,0.01095494564546691
CartPole-v1,50,4.0,kahkm_nlms,kahkm_association,20,0.33349521804668386,0.22183155369678365,0.006982007099651064
CartPole-v1,50,4.0,kahkm_nlms,kahkm_association,5,0.3250740626713067,0.2399887104366396,0.00791782381753214
CartPole-v1,50,4.0,kahkm_nlms,kahkm_association,50,0.35363826929050746,0.174899945363989,0.005801767193203682
CartPole-v1,50,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.2895265114804796,0.3230906951244583,7.771561172376096e-16
CartPole-v1,50,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.31198111902344344,0.27100789194640673,6.661338147750939e-16
CartPole-v1,50,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.3339211205104497,0.22083776475897943,6.661338147750939e-16
CartPole-v1,50,4.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.32468100755153845,0.24090765895560096,7.771561172376096e-16
