n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,train_closure_error_mean,fit_seconds_mean
12,16.0,1,3,4.3491234618047896e-07,1.8716423303969153e-07,0.99919049448406,0.00019505928354028926,7.356712970455737e-07,1.8465065082765286e-06,0.0010585407891346545,0.5670519669850668
12,16.0,10,3,3.4340285507511154e-05,1.5623686506187502e-05,0.9323829820901164,0.017724055541850234,0.00029965021484784946,0.0005173777829878907,0.0010585407891346545,0.5670519669850668
12,16.0,50,3,0.00027579629633946303,0.00012297982150344782,0.3896763593392942,0.14451212744942288,0.0014835864695834217,0.002302931624309104,0.0010585407891346545,0.5670519669850668
12,16.0,100,3,0.000348839293810552,0.00013523127998840036,-0.03725671454183932,0.20473201001358493,0.0011165916535434918,0.003075860766537131,0.0010585407891346545,0.5670519669850668
12,16.0,200,3,0.000521654415332113,0.00033566916168502456,-1.3710418164712523,1.2465920794464755,0.0005825099417757958,0.0015033944432503944,0.0010585407891346545,0.5670519669850668
12,20.0,1,3,6.53529489196005e-07,2.0830551217384598e-07,0.9989776234917637,0.0002111975722290343,4.807383815077218e-07,1.2704645267746102e-06,0.001542583795228165,0.5582977135976156
12,20.0,10,3,5.0900247341396493e-05,1.910978235025288e-05,0.9162069285424521,0.021548779472671482,0.00027704155562874056,0.0004554715987303492,0.001542583795228165,0.5582977135976156
12,20.0,50,3,0.0003624490012155893,0.00014929304700505176,0.3329220605955228,0.1739665787719242,0.0023081638882031584,0.0034033073935106533,0.001542583795228165,0.5582977135976156
12,20.0,100,3,0.000396477283615502,9.940942784916507e-05,0.007153166093298487,0.05444174735639402,0.0020971476074778863,0.0051810835660233414,0.001542583795228165,0.5582977135976156
12,20.0,200,3,0.0004808309548453694,0.00024600461571830357,-0.8464054749995056,0.7327061334117349,0.0012180761573331537,0.003477552772285792,0.001542583795228165,0.5582977135976156
15,2.0,1,3,1.6947087049797027e-06,2.3727302669891287e-06,0.9863680038655671,0.0178869833604411,4.810966440042345e-16,5.551115123125783e-16,0.0003876818662209535,0.5498713652292887
15,2.0,10,3,1.9621534310678744e-05,2.5457259192742102e-05,0.7910721202717256,0.1530069530116541,8.881784197001252e-16,1.1102230246251565e-15,0.0003876818662209535,0.5498713652292887
15,2.0,50,3,7.343997075064126e-05,7.090271197892031e-05,-0.7158804279267649,0.09265330195004359,2.8495724298712353e-15,3.774758283725532e-15,0.0003876818662209535,0.5498713652292887
15,2.0,100,3,5.6843302008738856e-05,3.764824440710045e-05,-3.0786893100679094,1.6041529089361444,5.477100254817439e-15,7.105427357601002e-15,0.0003876818662209535,0.5498713652292887
15,2.0,200,3,8.430751123292472e-05,3.9519390223015155e-05,-9.085086198863497,2.531569492910402,1.0251059260705612e-14,1.3322676295501878e-14,0.0003876818662209535,0.5498713652292887
15,4.0,1,3,5.715454792216626e-07,7.381503436313886e-07,0.9947472907570433,0.006310329657596047,4.810966440042345e-16,5.551115123125783e-16,0.0003962396521857065,0.5527023474375407
15,4.0,10,3,1.0113578656814508e-05,7.890346689051633e-06,0.8841238217540139,0.05200434837278782,1.1842378929335002e-15,1.6653345369377348e-15,0.0003962396521857065,0.5527023474375407
15,4.0,50,3,7.648455401189648e-05,3.0020932687562024e-05,-0.20897712955574746,0.21666918661610593,3.811765717879704e-15,5.88418203051333e-15,0.0003962396521857065,0.5527023474375407
