rank,n_clusters,omega,selection_objective_mean_error,selection_horizons,E1,E10,E50,E100,E200,E200_std,train_closure_error_mean_h1row,n_runs
11,8,12.0,4.7459771706705544e-05,1 10 50 100 200,1.0775624355419896e-07,8.785362281538043e-06,6.699547129909774e-05,6.921856724703664e-05,9.21917014623011e-05,4.7376510181294524e-05,0.0006630691797591129,3
12,10,6.0,4.942732840608208e-05,1 10 50 100 200,8.741451913703144e-08,7.104887628484679e-06,6.024530993979743e-05,7.374458370503167e-05,0.00010595444623795957,9.130993925970428e-05,0.00016385466589507444,3
13,15,4.0,7.236640394389957e-05,1 10 50 100 200,5.715454792216626e-07,1.0113578656814508e-05,7.648455401189648e-05,0.00010010602704705109,0.00017455631452451415,0.00012477778642288722,0.0003962396521857065,3
14,20,4.0,7.334867889524718e-05,1 10 50 100 200,6.317635134360613e-08,5.883442495206272e-06,8.50277508016e-05,0.00011665565115033881,0.00015911337367774723,9.125132146199011e-05,0.0009177487137062918,3
15,8,16.0,7.624088710087448e-05,1 10 50 100 200,1.788025628364318e-07,1.4064132786329932e-05,0.00010871606820205466,0.00011651604245813582,0.0001417293894950155,5.528357739750951e-05,0.0010679340350550272,3
16,12,6.0,7.793253817225021e-05,1 10 50 100 200,7.60911282844005e-08,6.7049463785433024e-06,7.963146695982921e-05,0.000112537725241278,0.00019071246115331614,0.00010684335429890642,0.0001674319988957238,3
17,30,4.0,7.93454158071559e-05,1 10 50 100 200,7.70374417828775e-08,7.2279352497711965e-06,0.00010346376947256,0.00013049736646416943,0.00015546097040749598,2.6960144826507276e-05,0.001579495218597368,3
18,10,8.0,8.223834166721239e-05,1 10 50 100 200,1.6545111780377036e-07,1.2881340027393956e-05,0.00010281703555041579,0.0001236572198407565,0.00017167066179969194,0.0001675444400705733,0.000271264759374638,3
19,8,4.0,9.369819309667988e-05,1 10 50 100 200,1.018220347602435e-06,1.618874259781259e-05,0.00011478947674077601,0.00017839583324704585,0.00015809869255016253,0.00018462356601020273,9.432993887505554e-05,3
20,8,20.0,0.00010224470182740569,1 10 50 100 200,2.4251902578878566e-07,1.8859923939704994e-05,0.00015145389499123272,0.00016723459705753332,0.0001734325741227686,5.268850084472139e-05,0.0014293719863095,3
21,15,6.0,0.00010774202515644888,1 10 50 100 200,1.6640324858376953e-07,8.703474975013338e-06,0.00012098249447511789,0.00016304376710932537,0.00024581398597420403,0.0001487437982757453,0.0003175135505644457,3
22,30,6.0,0.00011165647571279838,1 10 50 100 200,1.0900856187136908e-07,1.0090785995347504e-05,0.00013657492887765433,0.00019482879275177368,0.000216678862377345,3.967494189969678e-05,0.001170694220639999,3
